baseline,group,metric,reuters21578,aapd,rcv1,bgc,arxiv
caas,A:model-select,macro_f1,0.6946,0.3884,0.6064,0.4202,0.2737
caas,A:model-select,micro_f1,0.8884,0.6183,0.7784,0.6755,0.5734
hybrid_llm,A:model-select,macro_f1,0.6972,0.5151,0.6680,0.4725,0.3772
hybrid_llm,A:model-select,micro_f1,0.8904,0.6790,0.8001,0.6964,0.6057
indiv_ms,A:model-select,macro_f1,0.6972,0.5151,0.6680,0.4725,0.3772
indiv_ms,A:model-select,micro_f1,0.8904,0.6790,0.8001,0.6964,0.6057
random_ms,A:model-select,macro_f1,0.2425,0.2678,0.5423,0.2267,0.1623
random_ms,A:model-select,micro_f1,0.7680,0.5514,0.7581,0.5591,0.4538
deberta_svm,B:end-to-end,macro_f1,0.4834,0.3181,,0.5190,0.2986
deberta_svm,B:end-to-end,micro_f1,0.7789,0.4854,,0.6756,0.4836
deberta_xgboost,B:end-to-end,macro_f1,0.4157,0.2752,,0.4961,0.2714
deberta_xgboost,B:end-to-end,micro_f1,0.7476,0.4758,,0.6732,0.4924
roberta_svm,B:end-to-end,macro_f1,0.6713,0.5050,,0.6158,0.4549
roberta_svm,B:end-to-end,micro_f1,0.8698,0.6332,,0.7417,0.5874
roberta_xgboost,B:end-to-end,macro_f1,0.5822,0.5182,,0.6197,0.4904
roberta_xgboost,B:end-to-end,micro_f1,0.8324,0.6425,,0.7420,0.6100
self_pretrain,B:end-to-end,macro_f1,0.6314,0.4760,0.6321,0.3860,0.3427
self_pretrain,B:end-to-end,micro_f1,0.8629,0.6473,0.7752,0.6396,0.5728
snuba,B:end-to-end,macro_f1,0.1141,0.0840,0.1761,0.0479,0.1154
snuba,B:end-to-end,micro_f1,0.4767,0.3651,0.4287,0.3655,0.3737
besra,B:end-to-end(HITL),macro_f1,0.2550,0.1205,0.3114,0.1288,0.1214
besra,B:end-to-end(HITL),micro_f1,0.6971,0.4090,0.5770,0.4312,0.3563
comal,B:end-to-end(HITL),macro_f1,0.2343,0.1209,0.2658,0.0947,0.0746
comal,B:end-to-end(HITL),micro_f1,0.7408,0.4300,0.5689,0.4104,0.2849
filter_chi2,C:pattern-sel,macro_f1,0.5800,0.5110,0.6201,0.4553,0.4185
filter_chi2,C:pattern-sel,micro_f1,0.8201,0.6309,0.7429,0.6190,0.5978
filter_mi,C:pattern-sel,macro_f1,0.5876,0.4932,0.6227,0.4621,0.4019
filter_mi,C:pattern-sel,micro_f1,0.8370,0.6250,0.7464,0.6170,0.5969
localboost,C:pattern-sel,macro_f1,0.3474,0.2099,,0.2121,0.1960
localboost,C:pattern-sel,micro_f1,0.4553,0.2297,,0.2375,0.2465
weshap,C:pattern-sel,macro_f1,0.4686,0.3586,0.5625,0.4071,0.3266
weshap,C:pattern-sel,micro_f1,0.7884,0.5394,0.6973,0.5721,0.5207
